"Country or Area","Year(s)","Variant","Value"
"Afghanistan","2015","Medium variant","32006.788"
"Afghanistan","2010","Medium variant","28397.812"
"Afghanistan","2005","Medium variant","24860.855"
"Afghanistan","2000","Medium variant","20595.36"
"Afghanistan","1995","Medium variant","17586.073"
"Afghanistan","1990","Medium variant","11731.193"
"Afghanistan","1985","Medium variant","11528.977"
"Afghanistan","1980","Medium variant","13180.431"
"Afghanistan","1975","Medium variant","12551.79"
"Afghanistan","1970","Medium variant","11015.621"
"Afghanistan","1965","Medium variant","9765.015"
"Afghanistan","1960","Medium variant","8774.44"
"Afghanistan","1955","Medium variant","8009.614"
"Afghanistan","1950","Medium variant","7450.738"
